person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.cellphone,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.role,vaccination.0.healtcarePersonnel.surname,vaccination.0.type,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.cellphone,vaccination.1.healtcarePersonnel.role,vaccination.1.type,vaccination.0.id,vaccination.1.id,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.cellphone,test.0.healtcarePersonnel.role,test.0.type,test.0.result,test.0.datetime,test.0.id,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.cellphone,test.1.healtcarePersonnel.role,test.1.type,test.1.result,test.1.datetime,test.1.id,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.cellphone,test.2.healtcarePersonnel.role,test.2.type,test.2.result,test.2.datetime,test.2.id,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.cellphone,test.3.healtcarePersonnel.role,test.3.type,test.3.result,test.3.datetime,test.3.id,contact.0.name,contact.0.surname,contact.0.cellphone,contact.1.name,contact.1.surname,contact.1.cellphone
Via Vittoria,98077,51,Santo Stefano Di Camastra,1950-05-14,+393720704395,CRPPNG50E14C215P,Ping,M,Crepaldi,2021-07-06 20:19:11,1,+39338188049,MNTSNO64S68G037Y,Sonia,doctor,Montemurro,Johnson & Johnson,,,,,,,,,532d4f46-8328-4b2e-a7ad-aaaf9991fa48,,Giorgio,Barbieri,BRBGRG35M12D502Q,+39367773401,other,Antigen,Positive,2021-04-29 09:45:50,7ed26251-40f4-41f0-8470-25ff7b3ca738,Maurizia,Foschi,FSCMRZ27L66E675B,+393121522334,doctor,Antigen,Positive,2021-02-25 12:07:36,e8d3fa6f-8d0e-447f-ad8d-7390e63c9402,,,,,,,,,,,,,,,,,,,Assia,Floris,+39350068418,Bedri,Pellegrini,+39373186377
Via G. Stagliano,88064,227,Chiaravalle Centrale,1922-11-30,+393955316114,RSSMDN22S30C037M,Mihai Adinel,M,Rossi,,,,,,,,,,,,,,,,,,,Roberto,Pugliese,PGLRRT34H10C725R,+39340754206,other,Molecular,Positive,2021-12-08 08:51:46,ffb06f5a-6d07-4a6e-b28c-d0b9a17c23b6,,,,,,,,,,Laura,Rosso,RSSLRA73C53H725D,+39389441708,nurse,Antigen,Positive,2021-07-12 16:07:54,77b801b7-7f54-40ed-8cbd-2be5ff043092,,,,,,,,,,Martina,Rizzi,+393930061142,Maria,Parodi,+39346614279
Via Aldo Moro,4012,27,Cisterna Di Latina,1924-12-21,+39398366046,PRNCRL24T61I062G,Carla,F,Parente,2021-02-02 04:40:13,1,+39320828488,PNGGPL90C20I726S,Gian Paolo,other,Pianigiani,Pfizer-BioNTech,2021-03-02 04:40:13,2,Manuele,Rizzo,RZZMNL57H06B381L,+39346781372,doctor,Pfizer-BioNTech,52c950bf-92cf-48cf-b9bf-c4acc56d9271,e87b4fc6-7982-404b-bafc-ce8a8cd10452,,,,,,,,,,,,,,,,,,,Gabriella,Mancini,MNCGRL34A54G727Z,+393725493348,other,Molecular,Positive,2021-07-18 08:06:11,4267370b-00c5-4a5d-b4e8-050edf43aa24,Alfredo,Pinna,PNNLRD03E09G258X,+39354764538,other,Molecular,Positive,2021-10-26 05:56:52,3f3746d7-1c37-48c0-8ceb-32db5d22355d,Laurentiu,Crespi,+393752367358,Norma,Sbrana,+39364683986
Via Mameli,33077,41,Sacile,1931-08-22,+39371603645,RZZNMR31M62L109R,Anna Maria,F,Rizzi,2021-10-19 17:34:47,1,+393331510720,FRRJYO37E70L897Q,Joy,nurse,Ferrari,Pfizer-BioNTech,,,,,,,,,d22d56f1-cd04-46b3-9612-8237111a19d6,,,,,,,,,,,,,,,,,,,,Iman,Trevisan,TRVMNI40P41D312J,+393682479867,doctor,Antigen,Positive,2021-01-04 10:24:16,0e2b5cf4-d00c-4306-ab5a-9bbaa351acd8,Giulia,Semeraro,SMRGLI03E65I396R,+393418892049,nurse,Molecular,Negative,2021-05-04 22:37:33,4db1a1bd-2b8a-44eb-b356-a535b08ce378,Rina,Ferretti,+393557705607,Filippo Antonio,Parodi,+393468586665
Via Cordusio,20123,2,Milano,1999-07-29,+39351171352,LVTDGI99L29L840B,Diego,M,Lovato,2021-12-26 15:06:39,1,+393351568686,MSRRMR38D27E684R,Radimir,nurse,Masiero,Johnson & Johnson,,,,,,,,,4e60136e-fc9d-4faf-a11c-b7a680a4a4be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adele,Bianchi,+39381945734,Adriano,Esposito,+393417693395
Via Cavour,96013,107,Carlentini,1922-04-15,+39386986481,NGRNTN22D55F175B,Antonia,F,Negri,2021-01-23 03:51:11,1,+393687664043,MNTPTR86A27D935U,Pietro,nurse,Monti,Moderna,,,,,,,,,daaddf47-e3b5-4393-a71c-192db0557669,,Stefania,Filippini,FLPSFN83M52D917H,+393316817625,nurse,Molecular,Positive,2021-01-25 20:51:09,186493ae-e831-44aa-bd7b-6281bc64d7ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra,Bianchi,+39355884938,Cesare,Murgia,+393712282000
Via Tripoli,199,145/B,Roma,1991-12-23,+39336181038,RLLFBA91T23G315W,Fabio,M,Rallo,2021-03-29 01:46:42,1,+39321058703,FRRRMR74C58F518W,Irene Margherita,doctor,Ferrari,AstraZeneca,2021-04-26 01:46:42,2,Angioletta,Bruno,BRNNLT41H48H643A,+393617134928,doctor,AstraZeneca,04716043-9a57-40d6-962c-17c4f51be183,158740a7-d32d-43fa-9c31-6e217a2baedc,,,,,,,,,,Maurizio,Venezia,VNZMRZ52H13G712E,+39351289591,other,Antigen,Negative,2021-03-21 22:59:07,57a0744f-3300-4e19-be2c-bec9d22a74f9,,,,,,,,,,Nicoleta,Guerrini,GRRNLT96D58B269L,+393439774103,nurse,Molecular,Positive,2021-05-21 02:07:21,8b846027-7b3c-4bda-ab0a-624f3394735b,Sara Marika,Tiozzo,+393832126323,Orietta Maria,Gentile,+393910925161
Via Carlo Alberto,10090,5,San Giorgio Canavese,1947-02-17,+39324981736,RVIFOU47B57A745A,Ouafa,F,Riva,2021-04-18 19:00:29,1,+39362402169,RSSVNR79B61A432P,Viviana Rosa,nurse,Russo,AstraZeneca,2021-05-16 19:00:29,2,Rebecca,Rossi,RSSRCC66E56C263C,+393992110593,nurse,AstraZeneca,f04a8475-0346-4115-9457-81f1ead138a2,66abff87-3c7d-428d-91af-112e24729735,Ileana,Zunino,ZNNLNI30R56E816N,+393818692502,nurse,Molecular,Negative,2021-06-21 14:33:54,fac12737-e6ed-4074-a855-79b3d0f632a0,,,,,,,,,,Brian,Poletti,PLTBRN87M08I880T,+393616061323,other,Antigen,Negative,2021-09-04 00:47:57,61fc9827-b5bf-4661-aa5a-8b81c9bc2957,,,,,,,,,,Antonella,Lombardi,+39381693220,Arianna,Colombo,+393335526615
Piazza Mervelli,47921,7,Rimini,1931-12-16,+393839838993,BCCFNC31T56B685J,Francesca,F,Bacci,2021-09-14 01:37:37,1,+393312503455,RSSMST62T71G981Y,Maria Stella,nurse,Rossi,Pfizer-BioNTech,,,,,,,,,471e075d-45fe-4312-8a17-72a1558dd902,,,,,,,,,,,,,,,,,,,,Domenico,Marino,MRNDNC73H04H511R,+39396089879,nurse,Molecular,Negative,2021-08-06 01:01:27,d05dae7f-699a-4d5b-8049-5d4029704210,,,,,,,,,,Giuliana,Zunino,+393648404259,Marta,De Angelis,+39357795150
Via Lucania,74100,68,Taranto,1934-03-04,+39345214026,DLCRRT34C04G333L,Roberto,M,De Lucia,2021-10-15 09:21:02,1,+39322338077,FRLRLL31L64F378B,Ornella,doctor,Furlan,Moderna,2021-11-12 09:21:02,2,Maurizio,Di Marco,DMRMRZ29D28L295W,+39325156888,nurse,Moderna,b6c9621f-d054-4eb9-bed9-28e6f9b3b799,34f20998-1557-4f0a-9f59-fada0808c952,,,,,,,,,,Carla,Bruno,BRNCRL56C66C471R,+393944622727,nurse,Molecular,Positive,2021-08-09 04:14:42,d7433040-8537-4ac1-bca8-b677088f8e67,,,,,,,,,,,,,,,,,,,June Anne,Zanetti,+393901814113,Maria Rita,Marino,+39369439221
Via Romana,60,165,Mazzano Romano,1957-12-07,+393724024566,CRSRTI57T47L837W,Rita,F,Caruso,,,,,,,,,,,,,,,,,,,Rosa,Frigerio,FRGRSO45A62C754R,+393732340165,other,Antigen,Negative,2021-05-10 23:02:03,bcbe5c38-e2d7-4040-8c8d-dccc86b17c1f,,,,,,,,,,,,,,,,,,,Luigj,Brogi,BRGLGJ01S26H156V,+39342957912,nurse,Molecular,Negative,2021-01-19 14:12:25,30104736-868d-4e9a-8870-b3c5dc055ab9,Massimo Carlo,Russo,+39353502672,Carolina,Mantovani,+393976745002
Via G. Marconi,09045,425/c,Quartu Sant'elena,1993-07-17,+39364136599,BNDGLL93L17B504G,Guglielmo Olimpio,M,Benedetti,2021-05-21 11:18:08,1,+393375893321,FRLRNI00E59L424Q,Irene,nurse,Ferluga,Johnson & Johnson,2021-06-18 11:18:08,2,Alberto,Garavaglia,GRVLRT00A16G634B,+393842762419,nurse,Johnson & Johnson,d45e5ec0-cd2c-4c85-9b8b-496a2da4ad52,56075f44-bf2d-4257-95f9-fbe5798ccc6b,Ezio,Davoli,DVLZEI99M06H223C,+393526028447,nurse,Antigen,Negative,2021-02-17 20:46:33,da0cb057-7138-4390-ad79-6911f155fedb,Alberto,Bianchi,BNCLRT23T12C479T,+39399372688,other,Molecular,Negative,2021-12-08 17:13:00,aa3c8a17-0245-48dc-b4e6-ec5dddcc21d7,,,,,,,,,,,,,,,,,,,Rqya,Rosset,+39376852163,Francesco,Sala,+393508135420
Via Guglielmo Marconi,62010,1,Montefano,1970-04-27,+39362279663,TLLCMN70D27L492J,Carmine,M,Tallarico,2021-04-13 09:40:13,1,+393467624916,FRRLCU91A20M385K,Luca,doctor,Ferraro,Johnson & Johnson,,,,,,,,,4145ed0e-605f-40c1-96cf-501515331b16,,Matteo,Maio,MAIMTT82C06F636F,+393642994530,doctor,Antigen,Negative,2021-10-18 21:41:36,809c6a13-4c4f-48ce-a8aa-7cd11c85e2cc,Gentian,Delfino,DLFGTN69T03G605N,+393653060892,other,Molecular,Negative,2021-02-19 01:52:36,d3a4631c-ae3c-491b-8c17-607145eee827,,,,,,,,,,Paolo,Marini,MRNPLA61L28H534R,+393763487926,nurse,Molecular,Positive,2021-01-09 09:14:00,3d56d64f-ee12-4407-a8b2-d2afdb8c8af9,Santo,Parodi,+39344080393,Shpresa,D'Orazio,+39367950525
Via Mannu,08022,1,Dorgali,2003-01-10,+393453921771,BNCFRC03A50L599U,Federica,F,Biancheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurizio,Vezzoli,VZZMRZ51B17C685R,+39378935535,doctor,Molecular,Positive,2021-08-24 20:06:33,9fa8d214-3e3a-4cff-b676-2a6166ade2fe,Matilde,Iezzi,ZZIMLD97C48C856B,+39358463914,nurse,Antigen,Negative,2021-03-10 12:11:25,89af2d11-c856-4327-b419-c29f471768c0,Heqing,Bianchi,+393773621149,Giulia,Zunino,+39344818622
Via Kennedy,80121,387/389,Napoli,1961-08-18,+39326962443,CSDGPP61M18H274G,Giuseppe,M,Casadei,2021-07-16 08:03:50,1,+39322077639,MRTKNZ79B66L775R,Konouz,nurse,Martini,Moderna,,,,,,,,,e978a1b2-e282-479f-8483-441841998449,,Domenica,Gurrieri,GRRDNC73L65G953R,+393680087922,nurse,Antigen,Negative,2021-06-06 07:30:06,56abc678-8987-41a8-b7c1-e3dfc3ec3351,Giovanni,Giordano,GRDGNN84R08I365G,+39359047512,doctor,Molecular,Positive,2021-10-23 16:19:25,301e207c-2855-46c5-9b27-bcdfdb02c8df,,,,,,,,,,Laura,Ferrari,FRRLRA62S57G746U,+39347449028,doctor,Antigen,Negative,2021-11-20 07:07:01,60d5218f-0be8-442b-ba19-bcb9f74dd6e4,Marco,Boscolo,+393907464219,Giovanna,Bianco,+393776806168
Via Dei Cappuccini,50053,18,Empoli,1968-11-04,+39366834657,GRCNMR68S44L916Z,Annamaria Teresa,F,Greco,2021-09-24 04:40:15,1,+393794013751,MNCGPR97H16A035K,Giampiero,other,Mancini,Pfizer-BioNTech,,,,,,,,,6995ddb5-84ca-4d90-8585-e2e983e3b831,,,,,,,,,,,,,,,,,,,,Michela,Gamper,GMPMHL70E48I603T,+393738799427,doctor,Molecular,Positive,2021-12-27 01:32:23,53c7d124-3e4b-456e-a6c8-bf766da13b55,Maurizio,Valentini,VLNMRZ57R31D468Y,+39347630241,other,Antigen,Negative,2021-07-09 01:53:14,ace3f7a5-a8be-49cd-8f1e-4ddca1bf11dc,Mohamed Habib,Venturini,+39349509376,Massimiliano,Fabbri,+39346733090
Piazza Vittorio Emanuele Ii,59015,33,Carmignano,1940-04-11,+39373056916,GRRRTR40D11G602B,Arturo,M,Guerrini,2021-06-21 20:12:01,1,+393156840085,LOILNE40B43E647C,Elena,other,Loi,AstraZeneca,,,,,,,,,542ae0ba-7bd6-49e3-916b-0a1e86ce37e7,,Lavina,Lombardo,LMBLVN24R63I283E,+393237120707,other,Antigen,Negative,2021-02-20 22:35:15,3af9f6b6-92eb-4d3a-a669-f9a32ceff4e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valeruta,Pacini,+393838209395,Anna Valentina,Lombardi,+39343457847
Via Ing. Antonino Scalia,95024,44/48,Acireale,1998-06-20,+393486874220,FRRMSM98H20C240F,Massimo,M,Ferrari,2021-09-05 09:14:42,1,+39396094376,CSLRJN45D10I715K,Ardjan,doctor,Coslovich  Visintin,Moderna,,,,,,,,,49cf7494-a776-40bc-8a70-0d25218a7972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco,Mancini,+39322543569,Massimo,Casadei,+393177065797
Via Bovio,70042,48,Mola Di Bari,1963-02-28,+39361948679,MNTMTT63B28M320V,Matteo,M,Monti,2021-07-31 03:26:26,1,+39347353631,SNTNLS53A57F750L,Annalisa,doctor,Santarossa,AstraZeneca,,,,,,,,,1ea67fb1-6080-4fa5-aefb-c13a5632013a,,,,,,,,,,,Giannina,Casini,CSNGNN38D69H156C,+39342308246,doctor,Molecular,Positive,2021-12-01 20:45:45,b08c5793-3dbb-48e5-adf0-92352f758898,,,,,,,,,,Michelangelo,Mariani,MRNMHL79S27E126R,+39368114729,doctor,Antigen,Positive,2021-03-18 02:50:57,ad3fbd87-82f8-43d7-b8e2-e04af78c885d,Rebecca,Semprini,+393502177643,Gladys Okhen,Frigo,+393776183510
Corso Italia,17100,121,Savona,1928-07-17,+39336756938,VLNLGU28L17E850V,Luigi,M,Valentini,2021-06-12 09:36:30,1,+393868771076,DTTNWL69D12A750Q,Enzo Walter,doctor,Dutto,Pfizer-BioNTech,2021-07-10 09:36:30,2,Ines Maria,Iezzi,ZZINMR32H62H320N,+393589844429,doctor,Pfizer-BioNTech,8b1929b0-cc07-4a4d-96ac-bf17773e4c5b,4c476385-a9a4-4456-bd2d-caf3a9778e2c,,,,,,,,,,Dino,Ruggiero,RGGDNI36P05L212H,+393338508420,doctor,Molecular,Negative,2021-06-04 23:56:41,434100e1-2135-4929-be41-a57a97019bab,Leron,Russo,RSSLRN88C14A309K,+39370700558,other,Antigen,Positive,2021-03-19 20:51:57,dc840aa2-6391-4dfd-bc17-dc4df567fb28,Valeria,Lombardi,LMBVLR64M48F580P,+393968450791,other,Antigen,Positive,2021-09-21 08:22:06,181f7dac-3ddb-49a6-93d4-debb1723371d,Rita,Rossi,+393178507933,Piero,De Angelis,+393547906652
Via Pantelleria,141,13,Roma,1992-11-18,+393601731525,RSSTTR92S18F572R,Ettore,M,Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cile,Ferrari,FRRCLI63M64D995T,+39375381017,nurse,Molecular,Negative,2021-03-07 17:16:58,0c479637-5211-498a-a81f-d67e44b33eff,,,,,,,,,,Franco,Guastone,+393747199112,Biagio,Matera,+393507113909
Viale Bonaria,09125,6,Cagliari,1968-06-10,+39351833952,PRSDVD68H10G070B,Davide,M,Piras,2021-07-12 21:50:10,1,+39321712844,DMAFRC76P05F861A,Federico,nurse,Adami,Moderna,,,,,,,,,78f21c75-7464-4d4c-bac9-c2d6683acf61,,,,,,,,,,,Amedeo,Scalise,SCLMDA80R19C726S,+39321781323,doctor,Antigen,Positive,2021-10-18 01:30:24,a3367ca3-7fd0-43b1-abc0-cf2b39d1d15c,Maria,Negri,NGRMRA23B63C816I,+393378558148,nurse,Molecular,Negative,2021-03-19 05:27:00,2a7b3f71-ffdd-4572-ac5f-ae450adc2fe3,Viola,Fontana,FNTVLI84E61H214D,+39390060109,other,Antigen,Negative,2021-09-18 23:56:14,66bd3e15-070c-4a3b-8118-c88deb88aaf9,Matilde,Rizzi,+393569726985,Caterina,Foschi,+39367326365
Corso Garibaldi,80021,34,Afragola,1999-08-20,+393680050504,FRRSMR99M60E888O,Samira,F,Ferraro,2021-03-07 09:05:43,1,+39327375118,CCHTZN42M59I178M,Tiziana,nurse,Occhipinti,AstraZeneca,2021-04-04 09:05:43,2,Luca,Fornara,FRNLCU51L15E143D,+39348723819,other,AstraZeneca,ac627145-fd47-470e-81d6-d0d6377989cc,c7db7db7-2b0b-4ee4-ade2-c7f294c0ccc7,Omaima,Russo,RSSMMO40D61A343S,+39368101830,other,Molecular,Positive,2021-11-25 23:00:06,d5b9deb7-883b-4793-a7cc-de30bb9aaa92,Michele,Benedetti,BNDMHL40R20B557M,+393360588066,nurse,Molecular,Positive,2021-02-06 13:22:41,09c6a4ea-54a0-444b-9e7b-d0c070656a7d,,,,,,,,,,,,,,,,,,,Teresa,Sala,+39390052903,Francesca,Addis,+393259183053
Via Galletti,28845,13,Domodossola,1980-11-22,+393381139606,SNNSPH80S62F667C,Sophia,F,Sanna,2021-04-08 13:26:59,1,+39323177795,GVNBDR51P30C400K,Bledar Tom,doctor,Giovannini,Moderna,2021-05-06 13:26:59,2,Liliana,Ricci,RCCLLN25H56G143D,+39398766257,nurse,Moderna,5845c7e6-ea4c-4739-93c5-a3a5384975db,43730fa0-9025-4ebf-8a86-59214d41ce80,Lorenza,Ricci,RCCLNZ93D60B636N,+393866674334,doctor,Antigen,Negative,2021-06-12 13:43:09,b3895d54-a1a9-44ae-b9a8-80c7d5d71960,Laila,Campisi,CMPLLA33P52A522A,+39345598500,doctor,Molecular,Positive,2021-11-20 16:32:40,da4321d5-2af9-409c-88c0-905926d9f4b4,Marco,Ferracuti,FRRMRC38P07G873E,+39333526960,nurse,Molecular,Positive,2021-04-08 12:13:34,90109dc9-be9c-4db5-86b0-ae2d1a0d9027,Marisa,Piras,PRSMRS70M59D997Z,+393155969414,doctor,Molecular,Negative,2021-10-31 20:38:06,5e4e4e3f-740b-468a-89bf-7e78a9c7635d,Giuseppe,Barbieri,+39385310216,Said,Quarta,+39368655045
Corso Umberto I 9,83051,11,Nusco,1951-12-17,+393633308855,BLTMRA51T57L246A,Maria,F,Beltrame,2021-11-30 11:37:18,1,+393334597500,DPLRNT88B05L220L,Renato,doctor,De Palma,Pfizer-BioNTech,2021-12-28 11:37:18,2,Armanda,Mazzotti,MZZRND72T69C553L,+39388308100,nurse,Pfizer-BioNTech,a791616c-b9b4-44e6-98ec-e7d5a3e302d4,746f9214-685f-4f29-8b84-2bb3fd5d1b83,Maria,Messina,MSSMRA97M49L583W,+39368712296,doctor,Antigen,Negative,2021-11-23 12:34:52,c46b92e9-8bfc-4ba3-a54d-a259a2af20d5,,,,,,,,,,,,,,,,,,,Rudin,Lombardi,LMBRDN97S30C284R,+393733192411,doctor,Molecular,Positive,2021-05-29 23:19:51,47dcee9f-b5cf-4c4d-a640-2e4b8487bc88,Houria,Scalise,+393302941990,Giuseppe Oreste Massimo,Crippa,+393721784579
Via 24 Maggio,98044,22,San Filippo Del Mela,1937-12-10,+39358714163,DNDCCT37T50D014X,Crocetta Romina,F,Donda,2021-09-24 17:04:57,1,+39353903291,MNTCST49D49L810E,Cristina,other,Mantovani,AstraZeneca,,,,,,,,,e30a8012-cd5e-46cd-a99d-ae903d2d4ca8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Clara,Ferrari,FRRMCL93M60G491J,+39396267528,other,Antigen,Positive,2021-03-09 20:54:02,206440c1-b1a0-4418-8cee-82863a13f1d0,Rosella,Barbieri,+393237921036,Gaia,Russo,+39351711474
Via Della Liberta`,42032,42,Busana,1953-11-08,+393796777983,SLVCCL53S48I232T,Cecilia,F,Salvadori,2021-06-13 10:42:49,1,+39342425314,CPPSFN00H09E331Q,Stefano Renato,nurse,Coppola,Pfizer-BioNTech,,,,,,,,,90b8782b-6bb2-4414-813d-3d854cae4417,,,,,,,,,,,,,,,,,,,,Maristella,Crevatin,CRVMST26D42L424D,+393115777267,other,Antigen,Negative,2021-12-13 13:04:30,a05db00c-f61d-43a9-bd84-0c98745ff043,Ferdinanda,Brumat,BRMFDN51B47I082N,+39387288158,nurse,Molecular,Negative,2021-11-19 17:39:07,96e64ac4-a9b6-431b-9101-81cc91544d8f,Franca Elsa,Dalmasso,+393567447204,Ersilia,Marangon,+39386058701
Via Giacomo Matteotti,92013,4,Menfi,1940-10-18,+393353497915,DLSGPP40R18F852V,Giuseppe,M,D'Alessandro,2021-05-25 01:00:21,1,+39340082646,RSSMRN78R51D077H,Morena,nurse,Rossi,Moderna,2021-06-22 01:00:21,2,Marco,Carraro,CRRMRC99H20C743C,+393538720505,doctor,Moderna,c856ed96-d85f-4127-b385-e20058db0f9a,586d043e-783a-4280-9959-01fc87136f29,,,,,,,,,,Lorenzo,Zuliani,ZLNLNZ89H03G743O,+393900398118,other,Molecular,Negative,2021-03-28 20:42:37,b83bed9c-6518-4c97-99e6-e94754ce04f3,Federica,Innocenti,NNCFRC99D65F025A,+393107345948,other,Molecular,Positive,2021-02-15 05:54:29,9671a7e1-f963-4fa8-9874-409a4a5e940f,,,,,,,,,,David,Bianchi,+393789506613,Gianni,Ricci,+39365029662
Via Michele Spina,84030,2/A,Monte San Giacomo,1970-02-08,+39398365141,SCCNLI70B48C149H,Ionela,F,Sacco,2021-02-07 13:27:06,1,+393746914021,CNVBLS61R42B417I,Belisa,nurse,Canova,Pfizer-BioNTech,2021-03-07 13:27:06,2,Antonella,Guidi,GDUNNL92E59F346L,+393833806255,other,Pfizer-BioNTech,4534903b-b850-488c-9412-31936563c8e8,3b42ed11-74e9-4a3e-ac37-3e8ceda442ff,Alberto,Marino,MRNLRT39A14E173I,+39348624572,doctor,Antigen,Positive,2021-12-08 11:26:27,d8ea9c8f-fca1-4717-9aee-4f7a88039cc1,Maria Grazia,Blanc,BLNMGR81A64D402Y,+39380798123,nurse,Antigen,Positive,2021-10-31 06:00:21,643f54a6-c5b7-492c-81b1-745120d67644,,,,,,,,,,Grazia,Loi,LOIGRZ22R50I797S,+393173680847,doctor,Molecular,Negative,2021-02-08 23:07:18,31eb17f3-bc47-4059-ba8f-5cd224b93b58,Daniela,Piscitelli,+39342436306,Hicham,Rossi,+393843332020
Via Asinari Vittorio Di Bernezzo,10146,134,Torino,1960-03-24,+39382297063,BNCNMR60C64D231I,Anna Maria,F,Bianchi,2021-09-08 15:33:59,1,+393292958691,TMSPPL50D05I839V,Pierpaolo,other,Tomasi,Pfizer-BioNTech,2021-10-06 15:33:59,2,Giuseppe,Redaelli,RDLGPP93D10I243S,+393824893585,other,Pfizer-BioNTech,e350243c-676f-4c3a-9e75-366ca965508a,a63b1c23-0190-407f-94a7-f072de33438a,,,,,,,,,,,,,,,,,,,Isella,Conti,CNTSLL87A50A119Q,+39377847502,doctor,Molecular,Negative,2021-12-25 05:48:19,9cbd20f8-3c3c-422e-a5bf-df4e42e4706c,,,,,,,,,,Nouh,Di Giovanni,+39321530548,Luca,Fabris,+39339955614
Viale Del Lavoro,37036,39,San Martino Buon Albergo,1978-05-05,+39373875701,SBBTRS78E45H575T,Teresa,F,Sabbatini,2021-03-04 07:50:59,1,+393923931854,FLPRKE95L19A852B,Erik,other,Filippi,Moderna,2021-04-01 07:50:59,2,Marianna,Guglielmi ,GGLMNN35C70C578G,+39340613479,other,Moderna,3e472911-3d05-42d1-b87a-da569010880c,4baa96dd-c5dd-4313-9750-d89d6c6d800c,,,,,,,,,,,,,,,,,,,Simona,Rossi,RSSSMN37B44D454K,+39386465964,doctor,Antigen,Negative,2021-10-25 21:04:56,591ae8d0-701b-4d9e-b782-26cc2494a357,Mauro,Izzi,ZZIMRA88D24C246C,+393146559983,doctor,Antigen,Negative,2021-09-29 20:50:51,6bad9c01-8ae0-457e-91d7-13933c43b1bd,Maria,Mazzeo,+393919867475,Rossana Simona,Fumagalli,+393480735153
Via Mazzini,90040,2,Giardinello,1950-01-28,+393617978114,CLMGPP50A28B615T,Giuseppe,M,Colombo,2021-04-02 00:06:01,1,+393334338303,FNTCST55H41H996I,Cristina,other,Finotti,Moderna,,,,,,,,,017ba41e-f211-4f07-a233-0f0a432186ca,,Greis,Frigo,FRGGRS45M63E762Y,+393352505143,doctor,Molecular,Positive,2021-12-02 04:46:25,7d08a2e0-7784-4716-9c27-38c55ac3ab3a,Gioacchino Damiano,Iezzi,ZZIGCH80B19F582B,+39370745891,nurse,Antigen,Negative,2021-02-05 09:41:40,11ed79b6-6dbf-4e15-81a7-004f7e1d470b,,,,,,,,,,Elena,Proietti,PRTLNE61D45I424H,+39320602476,other,Antigen,Positive,2021-03-05 11:28:23,7bfb5264-bead-4d84-8d74-bd59aec4e4a5,Angela Antonietta,Lombardo,+393727963420,Maverik,Saponaro,+393478135142
Piazza Iv Novembre,30020,28,Marcon,1937-01-12,+39390507485,MNCLNZ37A12G934W,Lorenzo,M,Mancini,2021-09-20 15:59:40,1,+39354132802,RMNLRD88T24D755W,Leonardo,nurse,Romano,AstraZeneca,,,,,,,,,382672c8-f641-4a2f-8d7c-f363f67a1bf7,,Saber,Lanza,LNZSBR02P04B058M,+393110522849,doctor,Antigen,Positive,2021-05-03 11:16:39,cc883bab-915f-4ff3-b352-db5405065d2e,,,,,,,,,,,,,,,,,,,Valentino,Rosati,RSTVNT69M26G432A,+39396703777,doctor,Antigen,Negative,2021-06-05 10:17:29,80deed89-2fc8-415e-9037-c2964e0e08a0,Danilo,Trovato,+393463538267,Giovanni,Picariello,+393929091039
Via Umberto I,27050,11,Codevilla,1932-10-14,+393101614353,MNCDNC32R54F933Y,Domenica,F,Manca,2021-12-24 05:40:14,1,+39326708450,GROLBR02T45E668T,Laura Bruna,other,Gori,Moderna,,,,,,,,,bec3538b-994e-4cbe-9b24-0f515df4c91d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haiwei,Moras,+39324064138,Maria Teresa Laura,Donda,+393553208056
